"TOA5","Kanga_Sap10A","CR1000","30701","CR1000.Std.18","CPU:UTS_SAP02_10A_Dendro24hrMinMaxHMP45.cr1","35134","Ten_Min_Temp_RH"
"TIMESTAMP","RECORD","AirTC","RH","e_Sat","e_kPa"
"TS","RN","Deg C","%","kPa","kPa"
"","","Smp","Smp","Smp","Smp"
"2012-08-29 15:30:00",12963,14.51476,58.78318,1.651656,0.9708956
"2012-08-29 15:40:00",12964,14.93863,56.72007,1.697466,0.9628039
"2012-08-29 15:50:00",12965,14.77155,57.42693,1.679276,0.9643568
"2012-08-29 16:00:00",12966,14.50369,58.90701,1.650474,0.9722449
"2012-08-29 16:10:00",12967,14.84021,57.83179,1.68673,0.9754664
"2012-08-29 16:20:00",12968,14.605,60.48735,1.661316,1.004886
"2012-08-29 16:30:00",12969,14.40335,62.36974,1.639796,1.022737
"2012-08-29 16:40:00",12970,14.50419,62.5378,1.650527,1.032203
"2012-08-29 16:50:00",12971,14.2689,65.19327,1.625584,1.059771
"2012-08-29 17:00:00",12972,14.10083,65.19327,1.607971,1.048289
"2012-08-29 17:10:00",12973,13.83192,67.00839,1.580139,1.058825
"2012-08-29 17:20:00",12974,13.36134,71.34453,1.53245,1.093319
"2012-08-29 17:30:00",12975,12.45377,74.20167,1.444041,1.071502
"2012-08-29 17:40:00",12976,11.71473,77.63092,1.375395,1.067731
"2012-08-29 17:50:00",12977,11.04432,79.68427,1.315626,1.048347
"2012-08-29 18:00:00",12978,10.34281,82.48152,1.255544,1.035592
"2012-08-29 18:10:00",12979,9.70874,84.70827,1.203333,1.019323
"2012-08-29 18:20:00",12980,9.173008,86.89753,1.160721,1.008638
"2012-08-29 18:30:00",12981,8.93924,88.3798,1.142547,1.009781
"2012-08-29 18:40:00",12982,8.637695,89.32322,1.119476,0.9999523
"2012-08-29 18:50:00",12983,8.234543,89.99635,1.089273,0.9803063
"2012-08-29 19:00:00",12984,7.76392,91.17344,1.054927,0.9618136
"2012-08-29 19:10:00",12985,7.629452,92.41762,1.045291,0.9660333
"2012-08-29 19:20:00",12986,7.666252,92.76004,1.047921,0.9720516
"2012-08-29 19:30:00",12987,7.702194,91.8902,1.050494,0.9653014
"2012-08-29 19:40:00",12988,7.367596,91.82621,1.026749,0.9428245
"2012-08-29 19:50:00",12989,7.16637,92.80257,1.012698,0.9398096
"2012-08-29 20:00:00",12990,7.032047,93.00474,1.003413,0.9332216
"2012-08-29 20:10:00",12991,6.931202,93.00483,0.9964919,0.9267856
"2012-08-29 20:20:00",12992,6.966843,93.2106,0.9989333,0.9311117
"2012-08-29 20:30:00",12993,7.032772,93.54427,1.003463,0.9386821
"2012-08-29 20:40:00",12994,6.898216,92.6698,0.9942374,0.9213578
"2012-08-29 20:50:00",12995,6.830498,92.76979,0.9896226,0.9180708
"2012-08-29 21:00:00",12996,6.931282,93.50945,0.9964975,0.9318192
"2012-08-29 21:10:00",12997,6.864616,93.71242,0.9919453,0.9295759
"2012-08-29 21:20:00",12998,6.93219,93.67941,0.9965596,0.9335711
"2012-08-29 21:30:00",12999,6.83144,94.1169,0.9896867,0.9314623
"2012-08-29 21:40:00",13000,7.066116,94.55261,1.005761,0.9509733
"2012-08-29 21:50:00",13001,6.796803,94.14851,0.9873335,0.9295597
"2012-08-29 22:00:00",13002,7.166676,94.85462,1.012719,0.9606107
"2012-08-29 22:10:00",13003,7.368435,94.65279,1.026808,0.9719022
"2012-08-29 22:20:00",13004,7.469326,94.31649,1.033918,0.9751549
"2012-08-29 22:30:00",13005,7.571018,94.0154,1.041128,0.9788206
"2012-08-29 22:40:00",13006,7.605179,94.15097,1.04356,0.982522
"2012-08-29 22:50:00",13007,7.637905,94.35097,1.045895,0.9868118
"2012-08-29 23:00:00",13008,7.704872,94.24949,1.050686,0.9902666
"2012-08-29 23:10:00",13009,7.368462,94.18202,1.02681,0.9670701
"2012-08-29 23:20:00",13010,7.334805,94.75368,1.024447,0.9707017
"2012-08-29 23:30:00",13011,7.301678,95.05737,1.022127,0.9716071
"2012-08-29 23:40:00",13012,7.301933,95.19241,1.022145,0.9730046
"2012-08-29 23:50:00",13013,7.234154,95.49404,1.017412,0.9715676
"2012-08-30 00:00:00",13014,7.133884,95.19262,1.010445,0.9618695
"2012-08-30 00:10:00",13015,6.931458,95.42673,0.9965095,0.9509364
"2012-08-30 00:20:00",13016,6.326733,94.75541,0.9558831,0.9057509
"2012-08-30 00:30:00",13017,6.125774,95.79969,0.9427103,0.9031136
