"TOA5","Kanga_Sap10A","CR1000","30701","CR1000.Std.18","CPU:UTS_SAP02_10A_Dendro24hrMinMaxHMP45.cr1","35134","DendroTenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Dendro_Avg(1)","Dendro_Avg(2)","Dendro_Avg(3)","Dendro_Avg(4)"
"TS","RN","Volts","mV","mV","mV","mV"
"","","Avg","Avg","Avg","Avg","Avg"
"2012-10-02 10:30:00",17829,12.54,3078.442,2502.874,2729.899,1559.985
"2012-10-02 10:40:00",17830,12.33,3078.431,2502.527,2729.89,1561.06
"2012-10-02 10:50:00",17831,12.34,3078.375,2502.414,2729.975,1559.681
"2012-10-02 11:00:00",17832,12.61,3078.33,2502.85,2730.745,1560.063
"2012-10-02 11:10:00",17833,12.76,3078.089,2502.586,2730.937,1560.279
"2012-10-02 11:20:00",17834,12.57,3078.005,2502.506,2729.977,1562.162
"2012-10-02 11:30:00",17835,12.68,3076.893,2501.902,2728.845,1562.586
"2012-10-02 11:40:00",17836,12.88,3076.913,2501.513,2728.931,1561.854
"2012-10-02 11:50:00",17837,12.8,3076.588,2501.789,2728.508,1561.081
"2012-10-02 12:00:00",17838,12.63,3076.159,2501.643,2727.722,1560.391
"2012-10-02 12:10:00",17839,12.44,3075.609,2500.715,2727.593,1559.709
"2012-10-02 12:20:00",17840,12.33,3074.753,2500.678,2726.608,1559.349
"2012-10-02 12:30:00",17841,12.41,3074.605,2500.667,2724.975,1559.545
"2012-10-02 12:40:00",17842,12.6,3074.601,2500.664,2724.432,1559.475
"2012-10-02 12:50:00",17843,12.72,3074.6,2500.664,2723.553,1559.475
"2012-10-02 13:00:00",17844,12.66,3074.651,2500.705,2723.531,1559.433
"2012-10-02 13:10:00",17845,12.61,3074.621,2500.735,2723.699,1559.452
"2012-10-02 13:20:00",17846,12.51,3072.885,2500.223,2723.522,1559.427
"2012-10-02 13:30:00",17847,12.47,3071.978,2499.93,2723.496,1559.413
"2012-10-02 13:40:00",17848,12.48,3072.172,2499.585,2723.489,1559.408
"2012-10-02 13:50:00",17849,12.48,3071.9,2499.313,2723.486,1559.407
"2012-10-02 14:00:00",17850,12.45,3071.899,2499.313,2723.486,1559.407
"2012-10-02 14:10:00",17851,12.36,3072.169,2499.313,2723.486,1559.407
"2012-10-02 14:20:00",17852,12.31,3072.169,2499.313,2723.486,1559.407
"2012-10-02 14:30:00",17853,12.32,3072.102,2499.313,2723.486,1559.475
"2012-10-02 14:40:00",17854,12.3,3072.102,2499.313,2723.486,1559.61
"2012-10-02 14:50:00",17855,12.29,3072.44,2499.313,2722.203,1560.623
"2012-10-02 15:00:00",17856,12.32,3072.777,2499.313,2722.136,1560.758
"2012-10-02 15:10:00",17857,12.45,3072.372,2499.313,2722.136,1560.758
"2012-10-02 15:20:00",17858,12.53,3072.304,2499.313,2722.136,1560.758
"2012-10-02 15:30:00",17859,12.78,3072.507,2499.313,2722.136,1560.758
"2012-10-02 15:40:00",17860,12.46,3072.304,2499.313,2722.136,1560.69
"2012-10-02 15:50:00",17861,12.32,3072.237,2499.313,2722.136,1560.42
"2012-10-02 16:00:00",17862,12.28,3071.899,2499.313,2722.136,1559.947
"2012-10-02 16:10:00",17863,12.25,3071.899,2499.313,2722.068,1560.082
"2012-10-02 16:20:00",17864,12.23,3072.161,2499.526,2721.759,1560.89
"2012-10-02 16:30:00",17865,12.21,3072.603,2499.831,2721.619,1561.081
"2012-10-02 16:40:00",17866,12.19,3073.148,2499.944,2721.472,1561.084
"2012-10-02 16:50:00",17867,12.18,3073.088,2500.06,2721.598,1561.224
"2012-10-02 17:00:00",17868,12.17,3072.993,2500.093,2721.634,1561.245
"2012-10-02 17:10:00",17869,12.16,3073.251,2500.138,2721.683,1561.002
"2012-10-02 17:20:00",17870,12.14,3073.402,2500.15,2721.697,1561.078
"2012-10-02 17:30:00",17871,12.12,3074.284,2500.154,2721.836,1561.283
"2012-10-02 17:40:00",17872,12.11,3074.286,2500.156,2722.31,1561.013
"2012-10-02 17:50:00",17873,12.11,3074.286,2500.156,2723.053,1564.864
"2012-10-02 18:00:00",17874,12.1,3074.286,2500.156,2723.256,1573.915
"2012-10-02 18:10:00",17875,12.08,3074.286,2500.156,2724.404,1575.198
"2012-10-02 18:20:00",17876,12.08,3074.822,2500.591,2724.879,1562.434
"2012-10-02 18:30:00",17877,12.07,3075.236,2500.873,2725.253,1560.515
"2012-10-02 18:40:00",17878,12.07,3075.547,2500.961,2726.296,1561.111
"2012-10-02 18:50:00",17879,12.08,3075.715,2500.988,2726.663,1560.587
"2012-10-02 19:00:00",17880,12.08,3075.996,2500.996,2726.672,1560.457
"2012-10-02 19:10:00",17881,12.08,3076.201,2500.999,2726.674,1560.459
"2012-10-02 19:20:00",17882,12.08,3075.999,2501,2726.675,1560.459
"2012-10-02 19:30:00",17883,12.07,3076.472,2501,2726.675,1560.459
"2012-10-02 19:40:00",17884,12.07,3076.472,2501,2726.743,1560.459
"2012-10-02 19:50:00",17885,12.07,3076.607,2501,2727.688,1560.459
"2012-10-02 20:00:00",17886,12.06,3076.405,2501,2727.688,1560.459
"2012-10-02 20:10:00",17887,12.06,3076.607,2501,2727.756,1560.459
"2012-10-02 20:20:00",17888,12.06,3076.675,2501,2728.026,1560.459
"2012-10-02 20:30:00",17889,12.06,3076.675,2501,2728.026,1560.459
"2012-10-02 20:40:00",17890,12.05,3076.675,2501,2728.026,1560.459
"2012-10-02 20:50:00",17891,12.05,3076.712,2501.03,2728.06,1560.478
"2012-10-02 21:00:00",17892,12.05,3076.769,2501.076,2728.11,1560.507
"2012-10-02 21:10:00",17893,12.05,3076.721,2501.037,2728.067,1560.482
"2012-10-02 21:20:00",17894,12.04,3076.74,2501.052,2728.084,1560.492
"2012-10-02 21:30:00",17895,12.04,3076.796,2501.098,2728.134,1560.52
"2012-10-02 21:40:00",17896,12.04,3076.881,2501.167,2728.277,1560.563
"2012-10-02 21:50:00",17897,12.04,3077.018,2501.278,2728.668,1560.633
"2012-10-02 22:00:00",17898,12.04,3077.113,2501.355,2728.415,1560.478
"2012-10-02 22:10:00",17899,12.03,3077.031,2501.289,2728.409,1560.572
"2012-10-02 22:20:00",17900,12.03,3077.182,2501.412,2728.814,1560.581
"2012-10-02 22:30:00",17901,12.03,3077.536,2501.7,2730.142,1560.896
