"TOA5","Kanga_Sap03F","CR1000","33602","CR1000.Std.19","CPU:UTS_SAP02_Dendro24hrMinMaxHMP45.CR1","31416","Ten_Min_Temp_RH"
"TIMESTAMP","RECORD","AirTC","RH","e_Sat","e_kPa"
"TS","RN","Deg C","%","kPa","kPa"
"","","Smp","Smp","Smp","Smp"
"2012-07-17 12:40:00",6742,-40,0,0.01891484,0
"2012-07-17 12:50:00",6743,-40,0,0.01891484,0
"2012-07-17 13:00:00",6744,-40,0,0.01891484,0
"2012-07-17 13:10:00",6745,-40,0,0.01891484,0
"2012-07-17 13:20:00",6746,-40,0,0.01891484,0
"2012-07-17 13:30:00",6747,-40,0,0.01891484,0
"2012-07-17 13:40:00",6748,-40,0,0.01891484,0
"2012-07-17 13:50:00",6749,-40,0,0.01891484,0
"2012-07-17 14:00:00",6750,-40,0,0.01891484,0
"2012-07-17 14:10:00",6751,-40,0,0.01891484,0
"2012-07-17 14:20:00",6752,-40,0,0.01891484,0
"2012-07-17 14:30:00",6753,-40,0,0.01891484,0
"2012-07-17 14:40:00",6754,-40,0,0.01891484,0
"2012-07-17 14:50:00",6755,-40,0,0.01891484,0
"2012-07-17 15:00:00",6756,-40,0,0.01891484,0
"2012-07-17 15:10:00",6757,-40,0,0.01891484,0
"2012-07-17 15:20:00",6758,-40,0,0.01891484,0
"2012-07-17 15:30:00",6759,-40,0,0.01891484,0
"2012-07-17 15:40:00",6760,-40,0,0.01891484,0
"2012-07-17 15:50:00",6761,-40,0,0.01891484,0
"2012-07-17 16:00:00",6762,-40,0,0.01891484,0
"2012-07-17 16:10:00",6763,-40,0,0.01891484,0
"2012-07-17 16:20:00",6764,-40,0,0.01891484,0
"2012-07-17 16:30:00",6765,-40,0,0.01891484,0
"2012-07-17 16:40:00",6766,-40,0,0.01891484,0
"2012-07-17 16:50:00",6767,-40,0,0.01891484,0
"2012-07-17 17:00:00",6768,-40,0,0.01891484,0
"2012-07-17 17:10:00",6769,-40,0,0.01891484,0
"2012-07-17 17:20:00",6770,-40,0,0.01891484,0
"2012-07-17 17:30:00",6771,-40,0,0.01891484,0
"2012-07-17 17:40:00",6772,-40,0,0.01891484,0
"2012-07-17 17:50:00",6773,-40,0,0.01891484,0
"2012-07-17 18:00:00",6774,-40,0,0.01891484,0
"2012-07-17 18:10:00",6775,-40,0,0.01891484,0
"2012-07-17 18:20:00",6776,-40,0,0.01891484,0
"2012-07-17 18:30:00",6777,-40,0,0.01891484,0
"2012-07-17 18:40:00",6778,-40,0,0.01891484,0
"2012-07-17 18:50:00",6779,-40,0,0.01891484,0
"2012-07-17 19:00:00",6780,-40,0,0.01891484,0
"2012-07-17 19:10:00",6781,-40,0,0.01891484,0
"2012-07-17 19:20:00",6782,-40,0,0.01891484,0
"2012-07-17 19:30:00",6783,-40,0,0.01891484,0
"2012-07-17 19:40:00",6784,-40,0,0.01891484,0
"2012-07-17 19:50:00",6785,-40,0,0.01891484,0
"2012-07-17 20:00:00",6786,-40,0,0.01891484,0
"2012-07-17 20:10:00",6787,-40,0,0.01891484,0
"2012-07-17 20:20:00",6788,-40,0,0.01891484,0
"2012-07-17 20:30:00",6789,-40,0,0.01891484,0
"2012-07-17 20:40:00",6790,-40,0,0.01891484,0
"2012-07-17 20:50:00",6791,-40,0,0.01891484,0
"2012-07-17 21:00:00",6792,-40,0,0.01891484,0
"2012-07-17 21:10:00",6793,-40,0,0.01891484,0
"2012-07-17 21:20:00",6794,-40,0,0.01891484,0
"2012-07-17 21:30:00",6795,-40,0,0.01891484,0
"2012-07-17 21:40:00",6796,-40,0,0.01891484,0
"2012-07-17 21:50:00",6797,-40,0,0.01891484,0
"2012-07-17 22:00:00",6798,-40,0,0.01891484,0
"2012-07-17 22:10:00",6799,-40,0,0.01891484,0
"2012-07-17 22:20:00",6800,-40,0,0.01891484,0
"2012-07-17 22:30:00",6801,-40,0,0.01891484,0
"2012-07-17 22:40:00",6802,-40,0,0.01891484,0
"2012-07-17 22:50:00",6803,-40,0,0.01891484,0
"2012-07-17 23:00:00",6804,-40,0,0.01891484,0
"2012-07-17 23:10:00",6805,-40,0,0.01891484,0
"2012-07-17 23:20:00",6806,-40,0,0.01891484,0
"2012-07-17 23:30:00",6807,-40,0,0.01891484,0
"2012-07-17 23:40:00",6808,-40,0,0.01891484,0
"2012-07-17 23:50:00",6809,-40,0,0.01891484,0
"2012-07-18 00:00:00",6810,-40,0,0.01891484,0
"2012-07-18 00:10:00",6811,-40,0,0.01891484,0
