"TOA5","Kanga_Sap10A","CR1000","30701","CR1000.Std.18","CPU:UTS_SAP02_10A_Dendro24hrMinMaxHMP45.cr1","56927","TenMinOutput"
"TIMESTAMP","RECORD","Batt_Volt_Avg","TCVolt_Avg(1)","TCVolt_Avg(2)","TCVolt_Avg(3)","TCVolt_Avg(4)","TCVolt_Avg(5)","TCVolt_Avg(6)","TCVolt_Avg(7)","TCVolt_Avg(8)","TCVolt_Avg(9)","TCVolt_Avg(10)","TCVolt_Avg(11)","TCVolt_Avg(12)","TCVolt_Avg(13)","TCVolt_Avg(14)","TCVolt_Avg(15)","TCVolt_Avg(16)","TCVolt_Avg(17)","TCVolt_Avg(18)","TCVolt_Avg(19)","TCVolt_Avg(20)","TCVolt_Avg(21)","TCVolt_Avg(22)","TCVolt_Avg(23)","TCVolt_Avg(24)","TCVolt_Avg(25)","TCVolt_Avg(26)","TCVolt_Avg(27)","TCVolt_Avg(28)","TCVolt_Avg(29)","TCVolt_Avg(30)","TCVolt_Avg(31)","TCVolt_Avg(32)","TCTemp_Avg(1)","TCTemp_Avg(2)","TCTemp_Avg(3)","TCTemp_Avg(4)","TCTemp_Avg(5)","TCTemp_Avg(6)","TCTemp_Avg(7)","TCTemp_Avg(8)","TCTemp_Avg(9)","TCTemp_Avg(10)","TCTemp_Avg(11)","TCTemp_Avg(12)","TCTemp_Avg(13)","TCTemp_Avg(14)","TCTemp_Avg(15)","TCTemp_Avg(16)","TCTemp_Avg(17)","TCTemp_Avg(18)","TCTemp_Avg(19)","TCTemp_Avg(20)","TCTemp_Avg(21)","TCTemp_Avg(22)","TCTemp_Avg(23)","TCTemp_Avg(24)","TCTemp_Avg(25)","TCTemp_Avg(26)","TCTemp_Avg(27)","TCTemp_Avg(28)","TCTemp_Avg(29)","TCTemp_Avg(30)","TCTemp_Avg(31)","TCTemp_Avg(32)","TCVolt_Max(1)","TCVolt_Max(2)","TCVolt_Max(3)","TCVolt_Max(4)","TCVolt_Max(5)","TCVolt_Max(6)","TCVolt_Max(7)","TCVolt_Max(8)","TCVolt_Max(9)","TCVolt_Max(10)","TCVolt_Max(11)","TCVolt_Max(12)","TCVolt_Max(13)","TCVolt_Max(14)","TCVolt_Max(15)","TCVolt_Max(16)","TCVolt_Max(17)","TCVolt_Max(18)","TCVolt_Max(19)","TCVolt_Max(20)","TCVolt_Max(21)","TCVolt_Max(22)","TCVolt_Max(23)","TCVolt_Max(24)","TCVolt_Max(25)","TCVolt_Max(26)","TCVolt_Max(27)","TCVolt_Max(28)","TCVolt_Max(29)","TCVolt_Max(30)","TCVolt_Max(31)","TCVolt_Max(32)","TCVolt_Min(1)","TCVolt_Min(2)","TCVolt_Min(3)","TCVolt_Min(4)","TCVolt_Min(5)","TCVolt_Min(6)","TCVolt_Min(7)","TCVolt_Min(8)","TCVolt_Min(9)","TCVolt_Min(10)","TCVolt_Min(11)","TCVolt_Min(12)","TCVolt_Min(13)","TCVolt_Min(14)","TCVolt_Min(15)","TCVolt_Min(16)","TCVolt_Min(17)","TCVolt_Min(18)","TCVolt_Min(19)","TCVolt_Min(20)","TCVolt_Min(21)","TCVolt_Min(22)","TCVolt_Min(23)","TCVolt_Min(24)","TCVolt_Min(25)","TCVolt_Min(26)","TCVolt_Min(27)","TCVolt_Min(28)","TCVolt_Min(29)","TCVolt_Min(30)","TCVolt_Min(31)","TCVolt_Min(32)","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-07-17 10:30:00",6741,13.53,0.4191874,0.4766034,0.01404615,"NAN",0.3851371,0.4382262,"NAN",0.04706457,0.4002151,0.3700925,0.3405356,0.3238268,0.003994154,0.0002995513,"NAN",0.3417339,0.3889649,0.4544691,"NAN",0.02506338,0.3484907,0.3380393,0.3461608,-0.000332851,-0.003594758,"NAN",0.40827,0.385237,"NAN",0.003095483,0.3878998,0.3873339,10.86856,12.3572,0.3641883,"NAN",9.985723,11.36218,"NAN",1.220289,10.37666,9.595653,8.82932,8.396101,0.1035604,0.007766766,"NAN",8.860388,10.08497,11.78332,"NAN",0.6498427,9.035576,8.764597,8.975164,-0.008630161,-0.09320491,"NAN",10.5855,9.988312,"NAN",0.08025967,10.05735,10.04268,0.4200616,0.4793096,0.01497843,"NAN",0.3857734,0.4403657,"NAN",0.04926238,0.4044175,0.3714609,0.3418372,0.3275282,0.005325415,0.001664192,"NAN",0.3428358,0.3904333,0.4586727,"NAN",0.02596232,0.3551551,0.3428395,0.3471666,0.0003328469,-0.001997031,"NAN",0.4104089,0.3867762,"NAN",0.003994247,0.3897719,0.3901048,0.4183779,0.4746276,0.01331354,"NAN",0.3844313,0.4370168,"NAN",0.04493318,0.3964106,0.3687878,0.3394978,0.3208562,0.002995685,-0.001331416,"NAN",0.3408265,0.3874269,0.4503304,"NAN",0.0242972,0.3418251,0.3338369,0.3451535,-0.0009985617,-0.004992809,"NAN",0.4067316,0.3834299,"NAN",0.002329869,0.3854269,0.3847612,23.5338,23.02789,"NAN",0.1731249,0.1598228,"NAN"
"2012-07-17 10:40:00",6742,13.21,0.4177713,0.4726221,0.01241466,"NAN",0.383656,0.4352117,"NAN",0.04290212,0.3918437,0.3672474,0.3395224,0.3183876,0.005791282,0.00326175,"NAN",0.3393227,0.3863852,0.4471272,"NAN",0.02469617,0.334763,0.3286388,0.3457797,0.0008653646,-0.001131634,"NAN",0.405623,0.3815259,"NAN",0.001697448,0.3831235,0.3825577,10.83184,12.25398,0.3218871,"NAN",9.947321,11.28403,"NAN",1.112365,10.15961,9.521887,8.803049,8.255075,0.1501563,0.08457064,"NAN",8.797872,10.01808,11.59296,"NAN",0.6403218,8.679648,8.520864,8.965284,0.02243717,-0.02934099,"NAN",10.51687,9.892092,"NAN",0.04401143,9.933514,9.918844,0.4183779,0.4739619,0.0129807,"NAN",0.3847612,0.4370168,"NAN",0.04460035,0.3950792,0.368785,0.3401536,0.3201905,0.006656578,0.004659605,"NAN",0.3404937,0.3874239,0.4496647,"NAN",0.02562783,0.3408265,0.3328384,0.3461421,0.001664144,-0.0003328289,"NAN",0.4067285,0.383097,"NAN",0.001997031,0.3847612,0.3840955,0.4170314,0.4712822,0.01164892,"NAN",0.3827503,0.4336728,"NAN",0.04127047,0.3884084,0.3654433,0.3391501,0.3165179,0.005325377,0.001997016,"NAN",0.3378188,0.3847473,0.4436575,"NAN",0.02396403,0.3291653,0.3241729,0.3454838,0.0003328264,-0.001664192,"NAN",0.404384,0.3794221,"NAN",0.001331305,0.3817518,0.3810891,23.53651,23.0306,"NAN",0.1731972,0.1598932,"NAN"
"2012-07-17 10:50:00",6743,13.65,0.4166219,0.4704719,0.01128254,"NAN",0.3808773,0.4322644,"NAN",0.03874006,0.3854702,0.3638703,0.3377773,0.3130156,0.006523238,0.004892425,"NAN",0.3362463,0.382375,0.4407845,"NAN",0.0219993,0.3245644,0.3179414,0.3413385,-0.0004326557,-0.001164861,"NAN",0.4008131,0.3781815,"NAN",0.000199698,0.379546,0.3792798,10.80204,12.19823,0.2925337,"NAN",9.875277,11.20761,"NAN",1.004451,9.994358,9.434327,8.757803,8.115794,0.1691345,0.1268508,"NAN",8.718109,9.914106,11.42851,"NAN",0.5703976,8.415227,8.243506,8.850135,-0.0112179,-0.03020252,"NAN",10.39216,9.80538,"NAN",0.00517777,9.840759,9.833856,0.4170314,0.4712822,0.01164892,"NAN",0.3827503,0.4336728,"NAN",0.04060482,0.3877427,0.3651105,0.3391474,0.3151866,0.006989299,0.005657807,"NAN",0.3378161,0.3847443,0.4426591,"NAN",0.02363067,0.3284996,0.3231744,0.3458066,0.0006656527,-0.0003328238,"NAN",0.4033855,0.3790892,"NAN",0.0009984791,0.3810862,0.3800877,0.416348,0.4695979,0.0109828,"NAN",0.3797387,0.4309917,"NAN",0.03694215,0.3830668,0.3630981,0.3361492,0.3111793,0.006323489,0.004326743,"NAN",0.334809,0.3810699,0.4386464,"NAN",0.02096717,0.3208309,0.3138418,0.3381371,-0.001331249,-0.001664091,"NAN",0.3993746,0.3770761,"NAN",-0.0006656243,0.3787402,0.3787402,23.52973,23.0306,"NAN",0.1730165,0.1598932,"NAN"
"2012-07-17 11:00:00",6744,13.69,0.4160356,0.4701159,0.0115815,"NAN",0.3783625,0.4286821,"NAN",0.03477781,0.3807586,0.3616558,0.336496,0.3091397,0.007121958,0.006489627,"NAN",0.3330016,0.3797602,0.4367359,"NAN",0.0191694,0.316894,0.3091064,0.337694,-0.001164807,-0.0002662525,"NAN",0.3984304,0.3759663,"NAN",-0.0011648,0.3773308,0.3780629,10.78684,12.189,0.300285,"NAN",9.810073,11.11473,"NAN",0.9017181,9.8722,9.376912,8.724582,8.015301,0.1846581,0.168263,"NAN",8.633981,9.846313,11.32354,"NAN",0.4970239,8.216351,8.014439,8.755644,-0.03020112,-0.006903395,"NAN",10.33038,9.747946,"NAN",-0.03020092,9.783323,9.802307,0.416344,0.470901,0.01231331,"NAN",0.3794022,0.430322,"NAN",0.03660898,0.3827303,0.3624289,0.3374683,0.3108436,0.007321574,0.0073215,"NAN",0.3348058,0.3807334,0.4386422,"NAN",0.02030135,0.3201622,0.3128404,0.3378011,-0.0009983766,0.0009983766,"NAN",0.3997035,0.3770725,"NAN",-0.0003328089,0.3784038,0.3787366,0.4156575,0.4695887,0.01131527,"NAN",0.3770536,0.4266396,"NAN",0.03327922,0.3790503,0.360414,0.3354546,0.3071672,0.006988847,0.005657696,"NAN",0.3311283,0.3790503,0.4346267,"NAN",0.01797078,0.3134903,0.3051705,0.3374513,-0.001331236,-0.001331236,"NAN",0.3976867,0.3747241,"NAN",-0.001996753,0.3760627,0.3773864,23.53244,23.02924,"NAN",0.1730888,0.159858,"NAN"
"2012-07-17 11:10:00",6745,13.61,0.415614,0.4706897,0.01224645,"NAN",0.3752806,0.4250318,"NAN",0.03138154,0.3771774,0.3591738,0.3347475,0.3055623,0.0078537,0.008286314,"NAN",0.3292565,0.3785086,0.4333514,"NAN",0.01630643,0.3102879,0.3004707,0.3381086,-0.001064911,0.002928486,"NAN",0.3976104,0.373417,"NAN",-0.002795379,0.3751474,0.377011,10.77591,12.20387,0.3175259,"NAN",9.730167,11.02009,"NAN",0.81366,9.779348,9.31256,8.679247,7.922548,0.2036307,0.2148475,"NAN",8.53688,9.813861,11.23579,"NAN",0.4227929,8.04507,7.790536,8.766392,-0.02761101,0.07592978,"NAN",10.30912,9.681849,"NAN",-0.07247858,9.726716,9.775034,0.4156575,0.4712292,0.01231319,"NAN",0.376388,0.4259741,"NAN",0.03261364,0.3783848,0.3600812,0.3354546,0.3071672,0.008319477,0.008985035,"NAN",0.3307955,0.3787176,0.4346267,"NAN",0.01763799,0.3131575,0.3041721,0.3387658,-0.0006655648,0.003993349,"NAN",0.3979999,0.3743913,"NAN",-0.001996753,0.3760552,0.3773864,0.4153042,0.4702123,0.0119804,"NAN",0.37404,0.4239564,"NAN",0.0302826,0.3760367,0.3583996,0.334443,0.3038243,0.007653995,0.007654146,"NAN",0.3277842,0.3783661,0.4322758,"NAN",0.01497491,0.3074849,0.2965033,0.337448,-0.001331169,0.001331169,"NAN",0.3973461,0.3723762,"NAN",-0.003660534,0.3743728,0.3767059,23.53244,23.02789,"NAN",0.1730888,0.1598228,"NAN"
"2012-07-17 11:20:00",6746,13.64,0.4152256,0.4721285,0.01324408,"NAN",0.3728977,0.4232785,"NAN",0.02934998,0.3749276,0.357291,0.3342968,0.302551,0.008319153,0.009417276,"NAN",0.3276082,0.3780556,0.4305994,"NAN",0.01420912,0.3047472,0.2916363,0.3389888,-0.001630549,0.004093025,"NAN",0.3987536,0.3708013,"NAN",-0.004791823,0.3735632,0.3770905,10.76584,12.24118,0.3433923,"NAN",9.668386,10.97463,"NAN",0.7609856,9.721015,9.263743,8.667563,7.844471,0.2156989,0.2441711,"NAN",8.494144,9.802115,11.16444,"NAN",0.3684139,7.901415,7.56148,8.789215,-0.04227688,0.1061239,"NAN",10.33876,9.614031,"NAN",-0.1242424,9.685641,9.777096,0.4153042,0.4738485,0.01464139,"NAN",0.3737073,0.4242851,"NAN",0.03028231,0.3760367,0.3583996,0.3347725,0.3038243,0.008319397,0.009982763,"NAN",0.3277842,0.3783587,0.4319431,"NAN",0.01497491,0.3074849,0.295505,0.3394139,-0.001331064,0.004326044,"NAN",0.3989863,0.3720434,"NAN",-0.003660534,0.3743728,0.3773525,0.4149502,0.4708686,0.01231259,"NAN",0.3720243,0.4222709,"NAN",0.02828449,0.3740208,0.3563846,0.3340934,0.3014794,0.008318969,0.008984772,"NAN",0.3274346,0.3776812,0.4292588,"NAN",0.01364311,0.3024777,0.2878363,0.3387557,-0.002329311,0.003660346,"NAN",0.3983249,0.369695,"NAN",-0.005656899,0.3730226,0.3770157,23.53109,23.0306,"NAN",0.1730526,0.1598932,"NAN"
"2012-07-17 11:30:00",6747,13.25,0.4148037,0.4742325,0.01567243,"NAN",0.3705482,0.4208264,"NAN",0.02698587,0.37331,0.3558075,0.3347778,0.3004382,0.008351976,0.01018209,"NAN",0.3284223,0.3774694,0.4285461,"NAN",0.01247806,0.3002053,0.2841668,0.3413995,-0.003394021,0.002362521,"NAN",0.3994973,0.3682855,"NAN",-0.007187346,0.372944,0.3781348,10.7549,12.29573,0.4063545,"NAN",9.60747,10.91105,"NAN",0.6996892,9.679075,9.225279,8.680033,7.789693,0.21655,0.2640011,"NAN",8.515251,9.786917,11.11121,"NAN",0.3235309,7.783653,7.367816,8.851716,-0.08800019,0.06125544,"NAN",10.35804,9.548803,"NAN",-0.1863535,9.669585,9.804171,0.4149455,0.4748362,0.01630426,"NAN",0.3716874,0.4222662,"NAN",0.02828418,0.3743494,0.3563806,0.3350806,0.3011433,0.008651631,0.01031518,"NAN",0.3287549,0.377677,0.429254,"NAN",0.0133102,0.3018088,0.2871676,0.3427222,-0.002329285,0.00332755,"NAN",0.3996344,0.3693581,"NAN",-0.005989591,0.373347,0.3789909,0.414264,0.4731563,0.01497398,"NAN",0.3696741,0.4195851,"NAN",0.02595372,0.3726688,0.3550336,0.3344116,0.2997987,0.0083185,0.00998254,"NAN",0.3277637,0.3773326,0.4279036,"NAN",0.01197864,0.2988005,0.2811653,0.3400756,-0.003992938,0.00133096,"NAN",0.3989733,0.3670122,"NAN",-0.0083185,0.3723414,0.3776728,23.52702,23.02789,"NAN",0.1729442,0.1598228,"NAN"
"2012-07-17 11:40:00",6748,12.52,0.4142901,0.4704561,0.01537243,"NAN",0.3683392,0.4187156,"NAN",0.02482214,0.3720659,0.3543643,0.3344334,0.2995294,0.008351685,0.01028156,"NAN",0.3295089,0.3782215,0.4273001,"NAN",0.01177887,0.2967677,0.2773358,0.344349,-0.004558489,0.0004991064,"NAN",0.3994834,0.3665092,"NAN",-0.009416439,0.3728645,0.3799518,10.74158,12.19782,0.3985761,"NAN",9.550197,10.85632,"NAN",0.643588,9.646819,9.187862,8.671104,7.766129,0.2165424,0.2665801,"NAN",8.543425,9.806418,11.0789,"NAN",0.3054024,7.694524,7.190705,8.928189,-0.1181925,0.01294083,"NAN",10.35768,9.502748,"NAN",-0.2441495,9.667524,9.851279,0.4145918,0.4724908,0.01597152,"NAN",0.3693414,0.4195851,"NAN",0.02562098,0.3723361,0.3550336,0.334732,0.2997987,0.008651193,0.01031494,"NAN",0.3300728,0.3799823,0.4275709,"NAN",0.01231118,0.298135,0.2801671,0.3453786,-0.004325597,0.00133096,"NAN",0.3996207,0.3670122,"NAN",-0.008651193,0.3730015,0.3806485,0.4142539,0.4688223,0.01430757,"NAN",0.3673384,0.4179148,"NAN",0.02395685,0.371664,0.3536963,0.3343978,0.2991279,0.008318352,0.009982022,"NAN",0.3287471,0.3773251,0.4272306,"NAN",0.01131301,0.2954679,0.2745056,0.3427222,-0.004658314,0,"NAN",0.3992841,0.3656748,"NAN",-0.01031478,0.3723324,0.3789909,23.52702,23.01975,"NAN",0.1729442,0.1596118,"NAN"
"2012-07-17 11:50:00",6749,12.3,0.413887,0.4675569,0.01334261,"NAN",0.3663394,0.4166154,"NAN",0.02369061,0.3705651,0.3528304,0.3336982,0.2981291,0.007952327,0.009815633,"NAN",0.3300714,0.3822773,0.4259984,"NAN",0.01550537,0.2931048,0.2704124,0.345843,-0.0044919,0,"NAN",0.3986478,0.3641766,"NAN",-0.01171221,0.3729941,0.3804473,10.73113,12.12265,0.345947,"NAN",9.498346,10.80187,"NAN",0.6142498,9.607907,9.148092,8.652043,7.729823,0.2061879,0.2544996,"NAN",8.558009,9.911574,11.04515,"NAN",0.4020231,7.599555,7.011196,8.966927,-0.116466,0,"NAN",10.33602,9.44227,"NAN",-0.3036743,9.670883,9.864126,0.4142539,0.4688223,0.01397483,"NAN",0.3673384,0.4175813,"NAN",0.02395685,0.3729944,0.3533636,0.3343967,0.2987952,0.008318352,0.009982022,"NAN",0.3300722,0.3836415,0.4272306,"NAN",0.01830033,0.2951351,0.2735074,0.3460427,-0.00432553,0,"NAN",0.3989482,0.365342,"NAN",-0.01064748,0.3729949,0.3806478,0.4135872,0.4664921,0.01264387,"NAN",0.3653412,0.4152512,"NAN",0.02329133,0.3696665,0.3523643,0.333066,0.2974636,0.007652867,0.009316533,"NAN",0.3300712,0.3803151,0.4252329,"NAN",0.01297663,0.2914744,0.2668521,0.3457097,-0.004991011,0,"NAN",0.3976163,0.363012,"NAN",-0.01264387,0.3729938,0.3799814,23.52566,23.02653,"NAN",0.1729081,0.1597877,"NAN"
"2012-07-17 12:00:00",6750,12.16,0.4131233,0.4653293,0.01214481,"NAN",0.3642778,0.4136889,"NAN",0.02329142,0.369169,0.3508686,0.3326347,0.296766,0.007020699,0.00848473,"NAN",0.3298398,0.3830773,0.4242699,"NAN",0.02132829,0.2893127,0.2623612,0.3468426,-0.004691558,-0.0007985638,"NAN",0.397518,0.3622814,"NAN",-0.01360884,0.3722968,0.3799829,10.71133,12.06489,0.3148906,"NAN",9.444895,10.726,"NAN",0.6038996,9.571711,9.097228,8.62447,7.694482,0.1820326,0.219992,"NAN",8.552004,9.932318,11.00033,"NAN",0.5529996,7.501237,6.802449,8.992842,-0.1216427,-0.02070516,"NAN",10.30673,9.393133,"NAN",-0.3528503,9.652804,9.852087,0.413588,0.4661599,0.01231118,"NAN",0.3650088,0.4152516,"NAN",0.02329148,0.3699999,0.3517,0.3337329,0.2974639,0.007652875,0.009316543,"NAN",0.3300728,0.3836425,0.4252342,"NAN",0.02362422,0.2908092,0.2658542,0.3473758,-0.004325538,0,"NAN",0.3979506,0.3630124,"NAN",-0.01297661,0.3729945,0.3803157,0.412592,0.4644986,0.01197845,"NAN",0.3633471,0.4119265,"NAN",0.02329136,0.3683378,0.3497049,0.3260808,0.2958018,0.006321972,0.007652914,"NAN",0.3294078,0.3819803,0.4232391,"NAN",0.01896582,0.2874835,0.2585355,0.3463758,-0.004991032,-0.001330942,"NAN",0.396953,0.361683,"NAN",-0.01430762,0.3716651,0.3793184,23.51888,23.02382,"NAN",0.1727275,0.1597173,"NAN"
"2012-07-17 12:10:00",6751,12.13,0.4120582,0.4646303,0.01181207,"NAN",0.3631796,0.4105276,"NAN",0.02329141,0.3674718,0.3490716,0.3317694,0.2955014,0.005423571,0.006155588,"NAN",0.3287083,0.3808478,0.4222066,"NAN",0.02595327,0.286817,0.2542756,0.3483729,-0.005290476,-0.00232914,"NAN",0.3953882,0.3616822,"NAN",-0.01437412,0.3708325,0.3792174,10.68372,12.04677,0.3062632,"NAN",9.416419,10.64403,"NAN",0.6038991,9.527707,9.050636,8.602034,7.661694,0.1406223,0.159602,"NAN",8.522666,9.87451,10.94684,"NAN",0.6729161,7.436529,6.592809,9.032519,-0.1371715,-0.06038994,"NAN",10.25151,9.377598,"NAN",-0.3726925,9.61484,9.832238,0.4122593,0.4654924,0.01231109,"NAN",0.3633471,0.4119265,"NAN",0.02329148,0.3683382,0.349705,0.3327355,0.2961346,0.006321974,0.007320181,"NAN",0.3294081,0.3819803,0.4232395,"NAN",0.02794951,0.2878162,0.25787,0.3493688,-0.004991032,-0.00199641,"NAN",0.3966207,0.3616835,"NAN",-0.01430749,0.3716655,0.379651,0.4115897,0.4641644,0.0116457,"NAN",0.3630109,0.4085952,"NAN",0.02329126,0.3666709,0.3480379,0.3300731,0.2951335,0.004990983,0.004990983,"NAN",0.328074,0.3799802,0.421239,"NAN",0.02395695,0.2861497,0.2512128,0.3473758,-0.005323765,-0.002661875,"NAN",0.3942877,0.3616799,"NAN",-0.01464031,0.370331,0.378982,23.52024,23.02789,"NAN",0.1727636,0.1598228,"NAN"
"2012-07-17 12:20:00",6752,12.13,0.4113843,0.4673823,0.01414091,"NAN",0.3622071,0.4061937,"NAN",0.02568655,0.3650353,0.3465024,0.3304316,0.29473,0.004059278,0.003859644,"NAN",0.327304,0.3785108,0.4207006,"NAN",0.02951292,0.2847149,0.2471167,0.34963,-0.00532364,-0.002528731,"NAN",0.3936499,0.3618744,"NAN",-0.01457346,0.3700262,0.3780117,10.66624,12.11812,0.3666453,"NAN",9.391207,10.53166,"NAN",0.6660003,9.464534,8.984022,8.567348,7.641693,0.1052489,0.1000728,"NAN",8.486258,9.813918,10.90779,"NAN",0.7652103,7.382026,6.407195,9.065114,-0.1380313,-0.06556493,"NAN",10.20644,9.38258,"NAN",-0.3778609,9.593935,9.800978,0.4115897,0.4681449,0.01563802,"NAN",0.3630109,0.4082624,"NAN",0.0279488,0.3660055,0.3477052,0.3310685,0.2951335,0.004658251,0.004990983,"NAN",0.328074,0.3799802,0.421239,"NAN",0.03027786,0.285817,0.2502146,0.3500274,-0.00532358,-0.001996343,"NAN",0.3939549,0.3623382,"NAN",-0.01430728,0.370331,0.3786493,0.4109139,0.4654924,0.01231109,"NAN",0.3610053,0.4039267,"NAN",0.02329126,0.3639998,0.3450346,0.330062,0.2944605,0.003659962,0.00266179,"NAN",0.3267348,0.3773088,0.4202301,"NAN",0.02828224,0.2834807,0.244552,0.3493619,-0.005323716,-0.002994577,"NAN",0.3932795,0.3616708,"NAN",-0.01497257,0.3696561,0.376976,23.51888,23.01975,"NAN",0.1727275,0.1596118,"NAN"
"2012-07-17 12:30:00",6753,12.31,0.4104067,0.466636,0.01626987,"NAN",0.3588689,0.4018892,"NAN",0.02937893,0.3627949,0.344196,0.3294234,0.2940888,0.002894645,0.001297605,"NAN",0.3253309,0.3768356,0.4196563,"NAN",0.03074307,0.2825103,0.2417524,0.3505509,-0.005256933,-0.0009648848,"NAN",0.3930057,0.3611979,"NAN",-0.01610351,0.3684844,0.3762367,10.6409,12.09877,0.421845,"NAN",9.304654,10.42006,"NAN",0.7617362,9.406446,8.924224,8.541206,7.625069,0.07505234,0.0336443,"NAN",8.435101,9.770485,10.88071,"NAN",0.7971057,7.324865,6.268111,9.08899,-0.1363018,-0.02501754,"NAN",10.18973,9.365039,"NAN",-0.417532,9.55396,9.754957,0.4109114,0.4678068,0.01696825,"NAN",0.3610032,0.4035915,"NAN",0.03027668,0.3639976,0.3450325,0.3297252,0.2944588,0.00365994,0.002329053,"NAN",0.3264001,0.3773065,0.4198949,"NAN",0.03094273,0.283479,0.2438851,0.3506866,-0.004990731,-0.0003327107,"NAN",0.3932722,0.3616686,"NAN",-0.01497248,0.3689885,0.3769738,0.4098996,0.4654623,0.01563792,"NAN",0.3569986,0.400251,"NAN",0.02828135,0.3619893,0.3433575,0.3293836,0.2934509,0.002328975,0,"NAN",0.3240603,0.3762958,0.4192155,"NAN",0.03027768,0.2814733,0.2398845,0.3500233,-0.005323549,-0.001996331,"NAN",0.3929342,0.3603257,"NAN",-0.01730096,0.3676454,0.3756304,23.52159,23.01704,"NAN",0.1727997,0.1595415,"NAN"
"2012-07-17 12:40:00",6754,12.57,0.4091595,0.4644549,0.01693464,"NAN",0.3549287,0.3989122,"NAN",0.02977702,0.3610837,0.3420531,0.3289112,0.2931456,0.00126428,-0.001596969,"NAN",0.3230889,0.3750573,0.4183753,"NAN",0.02994337,0.2797376,0.2374177,0.3506368,-0.005589425,-0.0006986768,"NAN",0.393223,0.3592539,"NAN",-0.01926355,0.3668062,0.3748577,10.60856,12.04222,0.439081,"NAN",9.202496,10.34287,"NAN",0.7720579,9.36208,8.868663,8.527929,7.600613,0.03278024,-0.04140622,"NAN",8.37697,9.724379,10.8475,"NAN",0.7763711,7.252977,6.155722,9.091218,-0.1449226,-0.01811529,"NAN",10.19537,9.314636,"NAN",-0.4994657,9.51045,9.719203,0.4095669,0.4651296,0.01696812,"NAN",0.3563332,0.3999183,"NAN",0.03027668,0.3619866,0.3430248,0.3293836,0.2934487,0.001663554,-0.0003327107,-0.6830389,0.3240603,0.3759632,0.4192124,"NAN",0.03060939,0.2808079,0.239219,0.3506771,-0.005323245,-0.0003327107,"NAN",0.3932611,0.3603257,"NAN",-0.01763367,0.3673127,0.3752977,0.4085519,0.4637837,0.01663554,"NAN",0.3536569,0.3982383,"NAN",0.02894464,0.3606435,0.3410144,0.3283748,0.292776,0.0006653939,-0.002994273,-2.540207,0.3220507,0.3742874,0.4178674,"NAN",0.02894464,0.2781347,0.2358821,0.350333,-0.005988651,-0.0009980998,"NAN",0.3929314,0.3583146,"NAN",-0.02062721,0.3659667,0.3742841,23.52295,23.01839,"NAN",0.1728359,0.1595766,"NAN"
